id_estudiante,nombre,edad,correo,motivo_rechazo
E1018,Sofía Flores,,adriana.hernandez37@empresa.com,edad_invalido
E1027,Andrea Rivas,,paola.vasquez16@correo.sv,edad_invalido
E1040,Elena Flores,,valeria.martinez27@correo.sv,edad_invalido
E1050,Ricardo Martínez,,carlos.romero18@correo.sv,edad_invalido
E1064,Diego Mendoza,,diego.flores10@outlook.com,edad_invalido
E1073,Daniela Cruz,,daniela.santos62@correo.sv,edad_invalido
E1076,Adriana Gómez,,mario.cruz32@correo.sv,edad_invalido
E1077,Adriana Santos,,jorge.mejia86@correo.sv,edad_invalido
E1088,Daniela Flores,,marta.perez48@correo.sv,edad_invalido
E1098,Ricardo Pérez,,kevin.santos17@empresa.com,edad_invalido
E1108,Valeria Flores,,daniela.mejia80@outlook.com,edad_invalido
E1113,Fernando Reyes,,raul.flores34@gmail.com,edad_invalido
E1116,Carlos Morales,,kevin.mejia61@empresa.com,edad_invalido
E1119,Jorge Vásquez,,andrea.castro81@outlook.com,edad_invalido
E1123,Mario Martínez,,daniela.perez37@correo.sv,edad_invalido
E1139,Luis Rivas,,maria.rivas66@gmail.com,edad_invalido
E1150,Raúl Santos,,andres.castro54@correo.sv,edad_invalido
E1163,Sofía Flores,,patricia.gomez57@gmail.com,edad_invalido
E1173,Patricia Torres,,pedro.martinez38@empresa.com,edad_invalido
E1176,Diego Gómez,,jose.torres11@correo.sv,edad_invalido
